,FileName,genotype,Time,TRL,GRTR,L1R,GR1R,TNLR,TLRL,N2LR,L2LR,ML2LR,GR2L,D2LR,Height,Width,Magnitude,Altitude,ExtPathLength
134,fast-6-5-12_1,fast,5,649.6064164,413.3859517,413.385869,177.1654043,4,236.2205474,4,236.2205474,59.05513685,236.2205474,0.009676189,409.985276,70.070984,5,5,19
135,fast-6-5-12_1,fast,6,1594.488419,944.882003,590.5511833,177.1653142,10,1003.937236,10,1003.937236,100.3937236,767.7166888,0.016933333,581.024826,168.182526,11,11,76
136,fast-6-5-12_1,fast,7,3188.976809,1594.48839,767.7165912,177.1654079,16,2421.260218,16,2421.260218,151.3287636,1417.322982,0.020841024,756.95488,307.032959,17,17,169
137,fast-6-5-12_1,fast,8,5374.01641,2185.039601,944.8819624,177.1653713,22,4429.134448,22,4429.134448,201.3242931,2007.87423,0.023283332,933.693711,395.748047,23,23,298
138,fast-6-5-12_1,fast,9,7618.111117,2244.094707,1062.99216,118.1101973,28,6555.118958,28,6555.118958,234.1113913,2125.98451,0.02634074,1047.433457,433.386933,29,29,463
139,fast-6-5-12_1,fast,10,9625.985294,2007.874176,1240.157544,177.1653845,32,8385.827749,32,8385.827749,262.0571172,1830.708792,0.025803173,1220.632553,444.936951,33,33,593
140,fast-6-5-12_1,fast,11,12401.57573,2775.590436,1417.323053,177.1655085,36,10984.25268,36,10984.25268,305.1181299,2598.424927,0.025399996,1391.466416,477.749298,37,37,739
141,fast-6-5-12_1,fast,12,15531.49732,3129.921586,1653.543443,236.2203908,43,13877.95387,43,13877.95387,322.7431133,2893.701195,0.02600476,1619.987778,477.749298,44,44,1033
142,fast-6-6-9_1,fast,2,118.1102449,59.05512246,118.1102449,59.05512246,0,0,0,0,0,0,0,117.974625,3.665161,1,1,1
143,fast-6-6-9_1,fast,3,767.7167245,649.6064796,295.2756161,177.1653712,8,472.4411084,8,472.4411084,59.05513855,472.4411084,0.027093331,289.976242,83.401245,9,9,53
144,fast-6-6-9_1,fast,4,2657.480663,1889.763938,472.4409806,177.1653645,16,2185.039682,16,2185.039682,136.5649801,1712.598574,0.033866664,462.630417,252.028076,17,17,169
145,fast-6-6-9_1,fast,5,5255.906174,2598.425512,649.6063454,177.1653648,24,4606.299829,24,4606.299829,191.9291595,2421.260147,0.036945452,638.975754,328.095093,25,25,349
146,fast-6-6-9_1,fast,6,8326.772421,3070.866247,826.7716629,177.1653174,32,7500.000758,32,7500.000758,234.3750237,2893.700929,0.038704761,808.932724,394.845733,33,33,593
147,fast-6-6-9_1,fast,7,11633.85971,3307.087289,1003.937137,177.1654739,40,10629.92257,40,10629.92257,265.7480643,3129.921815,0.039843132,978.545029,443.581756,41,41,901
148,fast-6-6-9_1,fast,8,14468.50569,2834.645979,1240.157629,236.2204927,49,13228.34806,49,13228.34806,269.9662869,2598.425486,0.039511106,1213.020493,443.581756,50,50,1324
149,fast-6-6-9_1,fast,9,19251.97009,4783.464396,1476.377999,236.2203699,60,17775.59209,60,17775.59209,296.2598681,4547.244026,0.040639999,1447.60289,505.733124,61,61,1951
